Title,Content,Category
" Өфөлә ""ТАҠЫЯ"" халыҡ-ара конкурсы финалсылары билдәләнде ","

 Конгресс-холда ысын милли кейем байрамы үтте. Өфө I «Таҡыя» халыҡ-ара балалар милли кейеме оҫталары конкурсының икенсе ярымфиналында ҡатнашыусыларҙы һәм ҡунаҡтарҙы ҡаршы алды.
Конкурс Уҡытыусы һәм остаз йылы сиктәрендә уҙғарыла. Конкурсты ойоштороусылар - Башҡортостан Республикаһының Мәҙәниәт министрлығы, Башҡортостан Республикаһының Милли музейы, Торатау конгресс-холы һәм Халыҡтар дуҫлығы йорто һәм Халыҡтар ассамблеяһы.
Сағыу мәҙәни сарала республиканан ғына түгел, Рәсәй төбәктәренән, яҡын сит илдәрҙән 42 модельер, кейем реконструкторҙары һәм үҙешмәкәр биҙәү-ҡулланма сәнғәте оҫталары ҡатнашты. Һәләтле һәм ижади бәйгелә ҡатнашыусылар үҙ эштәрен «Балалар кейеме - реконструкция», «Балалар кейемен интерпретациялау», «Милли балалар кейеме аксессуарҙары - реконструкция» номинацияларында тәҡдим итте.
 ",мәҙәниәт
 Ғәскәров ансамбле яңы ижад миҙгелен «Башҡортостан» дәүләт концерт залында ҙур концерт менән асты ,"

Уҙған көндәрҙә ғәскәровсылар 85-се юбилей ижад миҙгелендәге премьера концертын тәҡдим итте.
Беренсе бүлектә тамашасылар «Урал һәм Шүлгән» хореографик спектаклен ҡараны.
Ошо постановкала «Урал батыр» эпосы яңы яңғыраш алды. Бында башҡорт мәҙәниәтенең оҫталығы һәм байлығы - яңғыҙ лирик, виртуоз һәм сағыу номерҙар тәҡдим ителде. Ҙур сәхнәлә спектакль тәүгә күрһәтелде.
Концерттың икенсе бүлексәһен ғәскәровсылар «Гөлнәзирә» тау-башҡорт бейеүе менән асты һәм донъя халыҡтары бейеүҙәрен - испан, молдаван, аргентин, хорезм, уйғыр һәм башҡа бейеүҙәрҙе, шулай уҡ Фәйзи Ғәскәров мираҫының алтын фондынан спектаклдәрҙе башҡарҙы. Был концерт «Әсе әрем хәтере» йәки «Әсе әрем» спектакленең премьераһы булыуы менән дә билдәләнде. Бейеүҙең авторы - Башҡортостандың атҡаҙанған артисы Роберт Хәмиҙуллин.
 ",мәҙәниәт
 Нефтекама дәүләт филармонияһы XXVI ижад миҙгелен ҡаршылай ,"

Нефтекама дәүләт филармонияһында XXVI концерт миҙгелен асыу тантанаһы уҙҙы.
Ижади коллектив яратҡан тамашасылары өсөн сағыу, ""Халыҡтар берҙәмлеге - Рәсәй көсө!"" концерт программаһын әҙерләгән.
Сара ҡунаҡтарын филармония фойеһында Александр Перечнев етәкселегендәге халыҡ уйын ҡоралдары оркестры ҡаршы алды.
Яҡты залда йылы мөхит хөкөм һөрҙө, ә тамашасыларҙың нурлы йылмайыуы артистар өсөн шатлыҡ һәм илһам сығанағы булды.
Тантаналы сара сиктәрендә Нефтекама дәүләт филармонияһының беренсе директоры, Башҡортостан Республикаһының атҡаҙанған артисы, Рәсәй Федерацияһының атҡаҙанған мәҙәниәт хеҙмәткәре Әхәт Әхмәт улы Фәсхетдиновҡа иҫтәлекле экспозиция асылды.
 ",мәҙәниәт
 Өфө Салауат театры артистарын аншлаг менән ҡаршы алды ,"

Салауат дәүләт башҡорт драма театры тамашасыларҙы ”Ҡыҙҙар ҡайтты ауылға"" спектакле менән ҡыуандырҙы.
Ҡуйыусы режиссер - Башҡортостандың халыҡ артисы Азат Нәҙерғолов. Спектакль пьеса авторы Наил Ғәйетбаевтың тыуыуына 75 йыл тулыуға арналған декада сиктәрендә ҡуйылды.
М.Ғафури исемендәге Башҡорт дәүләт академия драма театры драматургтың тамашасылары, ҡунаҡтары һәм ижадын һөйөүселәр менән тулы булды. ""Ҡыҙҙар ауылға килде"" музыкаль комедияһы 2013 йылдың 14 февралендә БР халыҡ артисы Азат Нәҙерғолов тарафынан ҡуйылды һәм оҙаҡ йылдар театр репертуарынан төшмәне.
Драматург Наил Ғәйетбаевтың юбилейы айҡанлы театр коллективы ошо спектаклде аяҡҡа баҫтырҙы һәм уға икенсе һулыш бирҙе.
Премьеранан 10 йыл үткәнгә күрә, актерҙар составын тулыһынса тиерлек алмаштырырға тура килде. Ләкин спектакль үҙенең актуаллеген һәм режиссерҙың уй-фекерҙәрен юғалтмаған.
 ",мәҙәниәт
 «Сибай» халыҡ бейеүҙәре ансамбленең репетиция залына Илнар Хәтмуллиндың исеме бирелде ,"

Сибай концерт-театр берекмәһенең 30-сы ижад миҙгеле алдынан Сибай халыҡ бейеүҙәре ансамбле шөғөлләнгән репитиция залына талантлы бейеүсе Илнар Хәтмуллиндың исеме бирелде, тип хәбәр итә «Сибай» филармонияһының матбуғат хеҙмәте. Хәҙер залға инеүселәрҙе батыр егеттең портреты ҡаршылай.
Хәтерегеҙгә төшөрәбеҙ, 23 йәшлек Илнарҙың махсус хәрби операция бурыстарын үтәгәндә ғүмере өҙөлгән. Өлөшләтә мобилизацияға тиклем бейеү ансамбленең солисы булған, шулай уҡ репетитор вазифаһын башҡарған. Репетиция залын асыуҙа Сибай ҡалаһы хакимиәте башлығы Азамат Юлдашбаев, Илнарҙың әсәһе, Башҡортостандың атҡаҙанған артисы Лариса Хәтмуллина, һөйөклө кәләше Фидәлиә Хәтмуллина һәм батырҙың кескәй улы ҡатнашты.
Залда «Сибай» халыҡ ансамбле ир-егеттәренең Ғәҙелша шарлауығында башҡарған бейеү клибы ҡуйылды, солист - Илнар. Клипты дәррәү алҡыштар менән ҡабул иттеләр.
 ",мәҙәниәт
 Йәрмәкәйҙә «Ата-бабалар ере» ижади фестивале уҙҙы ,"

Йәрмәкәйҙә «Ата-бабалар ере» Ыҡ төбәге халыҡтарының 24-се төбәк-ара ижади фестивале уҙҙы. Ул күп йылдар дауамында райондың визит карточкаһы булып тора.
Фестиваль күп милләтле Башҡортостан халҡының милли-мәҙәни үҙенсәлектәрен, туғанлыҡ традицияларын һаҡлау һәм үҫтереү маҡсатында 1994 йылда булдырылған. Ул йылдан-йыл ҙур Рәсәйҙең күп милләтле халҡын берләштереп, географияһын киңәйтә бара.
Был проект Башҡортостан Хөкүмәте һәм Мәҙәниәт министрлығы ярҙамында тормошҡа ашырыла. Быйыл уны тормошҡа ашырыуға Йәрмәкәй районы 500 мең һум күләмендә субсидия алды.
 ",мәҙәниәт
 Башҡортостанда Сергей Аксаковтың 232 йыллығына арналған тантаналар үтә ,"

Быйыл Сергей Аксаковтың 232 йыллығына арналған тантаналар Өфө, Ҡырмыҫҡалы, Бәләбәй, Дәүләкән райондарында үтте. Иҫтәлекле дата хөрмәтенә Дәүләкәндә тарих-тыуған яҡты өйрәнеү музейы биләмәһендә рус яҙыусыһына һәйкәл асылды.
Тантанаға Рәсәйҙең төрлө төбәктәренән, шулай уҡ Белоруссиянан һәм Германиянан ҡунаҡтар килде. Бюсты асыу хоҡуғы уны ҡуйыу инициаторы, Аксаков фонды рәйесенең беренсе урынбаҫары Вячеслав Аброщенкоға, Рәсәй Геройы Николай Гавриловҡа, Дәүләкән районы хакимиәте башлығы урынбаҫары Юрий Кузнецовҡа бирелде.
Бәләбәй районының Надеждин ауылы күптән көтөлгән XXXIII Халыҡ-ара Аксаков байрамында ҡатнашыусыларҙы ҡыңғырау сыңы менән ҡаршы алды. Был юлы ул Аксаковтар нәҫеленән Надеждин ауылынан берҙән-бер Иван Сергеевич Аксаковтың тыуыуына 200 йыл тулыуға арналған.
Ҡырмыҫҡалы районында делегация Рәсәй Геройы Миңлеғәле Шайморатов исемендәге күргәҙмә залында булды һәм легендар яҡташыбыҙҙың һәйкәленә сәскәләр һалды, һуңынан Ҡарлыман ауылындағы Шәриф Бикҡолдоң Йорт-музейы буйлап, Ҡырмыҫҡалы ауылының Еңеү паркында экскурсияға сыҡты.
Почетлы ҡунаҡтар Бөйөк Ватан һуғышында ҡатнашыусыларҙы һәм хәрби хеҙмәт барышында һәләк булған яугирҙәрҙе хөрмәтләп иҫкә алды. Һуңынан ҡунаҡтар Иҫке Кейешке ауылына (элекке Сергеевка) юлланды, унда буласаҡ яҙыусы Сергей Аксаковтың бала сағы үтә.
Зубов ауылында ""Аксаковские строки воспевая"" фольклор байрамы үтте.
 ",мәҙәниәт
 Башҡорт классик музыкаһын йәш башҡарыусылар конкурсының өсөнсө миҙгеле башлана ,"

1 октябрҙә Халыҡ-ара музыка көнөндә Башҡортостан юлдаш телеканалында күләмле телепроект — башҡорт классик музыкаһын йәш башҡарыусыларҙың «Елкән» телевизион конкурсы башлана. Проектты «Милли проекттар. Мәҙәниәт» федераль программаһы сиктәрендә Башҡортостан Республикаһының Мәҙәниәт министрлығы булышлығында «Тамыр» балалар-үҫмерҙәр телеканалы тормошҡа ашыра.
Быйыл «Елкән» телеконкурсының һайлап алыу турына 136 ғариза килгән. Конкурс турына 47 ҡатнашыусы үткән. Конкурсанттар башҡорт композиторҙарының әҫәрҙәрен, башҡорт халыҡ көйҙәрен уйнарға тейеш. Конкурс дүрт номинация буйынса үткәрелә: фортепиано, ҡыллы, тынлы, халыҡ музыка ҡоралдары. Финалсылар симфоник оркестр менән ҙур сәхнәлә уйнау мөмкинлегенә эйә була.
«Елкән»дең өсөнсө миҙгелен тынлы музыка ҡоралдарында уйнаусылар башлай. 12 йәш музыкант башҡорт академик музыкаһын башҡара.
Башҡорт классик музыкаһын йәш башҡарыусыларҙың «Елкән» телевизион конкурсының өсөнсө миҙгеленең тәүге сығарылышын 1 октябрҙә киске сәғәт 6-ла Башҡортостан юлдаш телевидениеһында ҡарағыҙ.
 ",мәҙәниәт
 Сибай ҡалаһында  Ҡөрьән сүрәләрен башҡарыусыларҙың VIII төбәк-ара конкурсы үтте ,"

Конкурстың маҡсаты – башҡорт халҡының милли мәҙәниәтендәге һирәк башҡарылған жанрҙарҙы һаҡлап ҡалыу, иң яҡшы мөнәжәт, нәсихәт әйтеүселәрҙе асыҡлау, йәмәғәт ойошмаларының иғтибарын ошо жанрҙы тергеҙеүгә йәлеп итеү, йәштәрҙә эстетик зауыҡ һәм илһөйәрлек тәрбиәләү.
Конкурста Белорет, Баймаҡ, Хәйбулла, Стәрлебаш һәм Әбйәлил райондарынан, шулай уҡ Өфө, Сибай ҡалаларынан 70 бәйгесе ҡатнашты. 
Был юлы Хәйбулла районынан килгән конкурсанттарға бәхет йылмайҙы.""Сәсәндәрҙең халыҡ мәктәбе"" конкурсында Миңзифа Ибраһим ҡыҙы Ишемғолова етәкселегендәге район мәҙәниәт йорто командаһы Гран-приға лайыҡ булды.
Шулай уҡ Миңзифа Ишемғолова һәм Хәмиҙә Ҡунысбаева - I дәрәжә дипломдары, ә Мәрйәм Билалова һәм Рәсимә Денисламова II дәрәжә дипломдары менән тәбрикләнде. Махсус приздар һәм рәхмәт хаттары менән Фәниә Арыҫланова, Миңзифа Ишемғолова һәм Рәсимә Денисламова бүләкләнде.
 ",мәҙәниәт
 Баш ҡалала Абдулла Солтановҡа арналған хәтер кисәһе үтте ,"

Республиканың төп концерт залында мәшһүр йырсы, Башҡортостандың халыҡ артисы Абдулла Солтановҡа арналған хәтер кисәһе үтте. Учалы районы Ҡобағош ауылынан сыҡҡан бөйөк шәхес башҡорт халыҡ йырҙарын юғары кимәлдә башҡарып, бөтә донъяла республика данын яҡланы. Урал ҡаяларынан көс алған аҡһаҡал, арҙаҡлы йыраусы 95 йәшен туйлаған булыр ине.

Моң һәм сәнғәт белгестәре Абдулла Афзал улының тауышын Урал тауҙарын иңләп осҡан ҡыйғыр бөркөт бейеклеге менән тиңләй. Ҡурайҙа оҫта уйнаған Аблулла Солтановтың тауыш диапазоны, башҡарыу маһирлығы, күкрәктән сыҡҡан илаһи моңо үҙенсәлекле, тәрән драматизм, халыҡсан моң менән һуғарылған йырҙарын төрлө ҡитғаларҙа яратып тыңлайҙар.


Танылған йырсылар менән бер сәхнәлә йәш ижадсылар ҙа халыҡ йырҙарын башҡарҙы.Тимәк, Абдулла Солтанов өлгөһөндә тәрбиәләнеүсе йәштәргә үҫеү, ил, халыҡ-ара кимәлдә танылыу өсөн мөмкинлектәр киң. Абдулла Солтанов репертуарында 60 -тан ашыу башҡорт халыҡ йырҙары. Улар араһында тарихи темаға арналғандары « ҡасҡындар хаҡындағылары, ҡатын-ҡыҙҙың аяныслы яҙмышы хаҡындағылары бер-нисә быуын тамашасыларҙы һоҡландыра, уйланырға һәм хисләнергә мәжбүр итә.


Абдулла Солтанов Өфө, Һамар, Ульяновск, Мәскәү ҡалаларында, Германия, Польша, Франция, Португалия, Румыния һәм яҡын сит ил сәхнәләрендә уңыш ҡаҙана. Мәшһүр йырсы башҡарыуындағы башҡорт халыҡ йырҙары «Башҡортостан» дәүләт телевидение һәм ралиотапшырыуҙар компанмяһының алтын фондына ингән.


Абдулла Солтанов башҡорт халыҡ йырҙарын киң диапазонда, йөрәк түренән сыҡҡан моң менән иркен башҡарыусы йыраусы. Башҡортостандың халыҡ артисы, остаз, аҡһаҡал ижады йәштәр өсөн ҙур мәктәп булһа, ә төрлө ҡитғаларҙа йәшәгән тамашасылар өсөн ул йыһан менән ерҙе тоташтырыусы мәшһүр йырсы булараҡ ҡәҙерле һәм яҡын.

 ",мәҙәниәт
